model,prior_method,paper_id,retain_pct,retain_pct_display,num_units,gr_coverage,avg_dec_coverage,oracle_retention,selected_count
google/embeddinggemma-300m,kmeans,1052_slides.pdf,0.1,10%,9,0.40540416146439195,0.4795936713391981,0.5,7
google/embeddinggemma-300m,kmeans,1052_slides.pdf,0.2,20%,19,0.5103944804951223,0.5871362786429176,0.5,6
google/embeddinggemma-300m,kmeans,1052_slides.pdf,0.5,50%,48,0.42025574264001525,0.5257647296339024,0.8333333333333334,7
google/embeddinggemma-300m,kmeans,1074_slides.pdf,1.0,100%,214,0.6431443820217234,0.7355642433366127,1.0,5
google/embeddinggemma-300m,kmeans,1074_slides.pdf,0.03,3%,6,0.5523006953017062,0.6634609667735747,0.2,5
google/embeddinggemma-300m,kmeans,1074_slides.pdf,0.05,5%,10,0.5536167190979034,0.6475850519546631,0.2,4
google/embeddinggemma-300m,kmeans,1074_slides.pdf,0.1,10%,21,0.615059301749453,0.6638137635051059,0.4,6
google/embeddinggemma-300m,kmeans,1074_slides.pdf,0.2,20%,42,0.5469098088479137,0.5617570538815655,0.8,5
google/embeddinggemma-300m,kmeans,1074_slides.pdf,0.5,50%,107,0.5469098088479137,0.5617570538815655,0.8,5
google/embeddinggemma-300m,kmeans,1092_slides.pdf,1.0,100%,135,0.6861489079656707,0.645728053369345,1.0,5
google/embeddinggemma-300m,kmeans,1092_slides.pdf,0.03,3%,4,0.48853574057867566,0.5478231429285304,0.2,4
google/embeddinggemma-300m,kmeans,1092_slides.pdf,0.05,5%,6,0.49447903838676316,0.594691048457662,0.4,6
google/embeddinggemma-300m,kmeans,1092_slides.pdf,0.1,10%,13,0.5474373527173956,0.6347408843498624,0.4,7
google/embeddinggemma-300m,kmeans,1092_slides.pdf,0.2,20%,27,0.5980794292354359,0.6856419747135146,0.4,6
google/embeddinggemma-300m,kmeans,1092_slides.pdf,0.5,50%,67,0.6056666334236125,0.6408869937700298,0.8,5
google/embeddinggemma-300m,kmeans,1083_slides.pdf,1.0,100%,131,0.6733607662416622,0.8096891881213043,1.0,7
google/embeddinggemma-300m,kmeans,1083_slides.pdf,0.03,3%,3,0.4698012142145935,0.6421765560383232,0.14285714285714285,3
google/embeddinggemma-300m,kmeans,1083_slides.pdf,0.05,5%,6,0.5883434077311458,0.6864417542881812,0.14285714285714285,6
google/embeddinggemma-300m,kmeans,1083_slides.pdf,0.1,10%,13,0.6129768964393025,0.6153627373541536,0.14285714285714285,6
google/embeddinggemma-300m,kmeans,1083_slides.pdf,0.2,20%,26,0.6548835569967133,0.6853287691791505,0.42857142857142855,7
google/embeddinggemma-300m,kmeans,1083_slides.pdf,0.5,50%,65,0.6053799046603635,0.7548200703423185,0.8571428571428571,7
google/embeddinggemma-300m,kmeans,1097_slides.pdf,1.0,100%,156,0.7109055060267887,0.763010534955607,1.0,6
