budget,model,prior_method,strategy,objective,solver,config,avg_decision_coverage,avg_density_phi,decision_D1_coverage,decision_D2_coverage,decision_D3_coverage,decision_D4_coverage,decision_D5_coverage,global_gr_coverage,redundancy_score,semantic_volume
250,google/embeddinggemma-300m,centroid,prior,fl,cost_norm,prior/fl/cost_norm,0.7224052564072144,0.03263396732860579,0.7254228133621916,0.7198945284645937,0.7075144897305611,0.6859289895677753,0.6564788715807669,0.7153174152650265,0.36925664797144114,-0.45420774065379826
250,google/embeddinggemma-300m,centroid,prior,dpp,dpp,prior/dpp/dpp,0.48281410831808325,0.05845111842214499,0.4818179882605464,0.4822780712364835,0.47586459519220703,0.4809002660191514,0.5640198603915039,0.45046070076350736,0.20023113353845645,-0.08747633561651576
250,google/embeddinggemma-300m,centroid,prior,mmr,topk,prior/mmr/topk,0.47385069074353264,0.05936636504242724,0.4763224788230022,0.4716097617624139,0.4697333982905354,0.47707519334362547,0.5640198603915039,0.4417306499297118,0.3114674542766978,-1.0594376402629613
250,google/embeddinggemma-300m,centroid,prior,graphcut,topk,prior/graphcut/topk,0.47385069074353264,0.05936636504242724,0.4763224788230022,0.4716097617624139,0.4697333982905354,0.47707519334362547,0.5640198603915039,0.4417306499297118,0.3114674542766978,-1.0594376402629613
250,google/embeddinggemma-300m,centroid,prior,fl,topk,prior/fl/topk,0.47385069074353264,0.05936636504242724,0.4763224788230022,0.4716097617624139,0.4697333982905354,0.47707519334362547,0.5640198603915039,0.4417306499297118,0.3114674542766978,-1.0594376402629613
250,Qwen/Qwen3-Embedding-0.6B,centroid,prior,mmr,greedy,prior/mmr/greedy,0.7609654088251172,0.02189033521989466,0.7663941408821583,0.7572352380484872,0.7595857466814242,0.7620641724688966,0.7583929121556086,0.7477087582377184,0.3465732607357907,-0.2566983523727172
250,Qwen/Qwen3-Embedding-0.6B,centroid,prior,graphcut,greedy,prior/graphcut/greedy,0.7604264121513051,0.02190239607128051,0.7660220313841763,0.7565530553734925,0.7585490331152488,0.7591839564281307,0.7583929121556086,0.7471078375327401,0.3463865345660246,-0.2561234613565488
250,Qwen/Qwen3-Embedding-0.6B,centroid,prior,fl,greedy,prior/fl/greedy,0.9097831744166263,0.009977610062429998,0.910310789414564,0.9075272295250028,0.9073603542149449,0.9014303966348096,0.8649730663680345,0.8959818436489375,0.5068606422194895,-0.6900261734736736
250,Qwen/Qwen3-Embedding-0.6B,centroid,prior,mmr,cost_norm,prior/mmr/cost_norm,0.7929621470524792,0.01878730794151296,0.7930218676591845,0.7928041356143146,0.7899874484142917,0.7871386774014001,0.7811028170966798,0.7796414328096025,0.5132627544819184,-0.3193306985820818
250,Qwen/Qwen3-Embedding-0.6B,centroid,prior,graphcut,cost_norm,prior/graphcut/cost_norm,0.7929621470524792,0.01878730794151296,0.7930218676591845,0.7928041356143146,0.7899874484142917,0.7871386774014001,0.7811028170966798,0.7796414328096025,0.5132627544819184,-0.3193306985820818
250,Qwen/Qwen3-Embedding-0.6B,centroid,prior,fl,cost_norm,prior/fl/cost_norm,0.9119871720664908,0.010333615052074476,0.911389865450577,0.9096924993634928,0.9132342831969088,0.9041578895249506,0.8683348526520334,0.9018046380499876,0.7250548901985276,-1.8765476450042904
250,Qwen/Qwen3-Embedding-0.6B,centroid,prior,dpp,dpp,prior/dpp/dpp,0.7335754656394113,0.024473154886608135,0.7334217527878194,0.7319369173234365,0.7383492998496163,0.7227303743770741,0.6898571573936332,0.7164502629372603,0.4044815550716418,-0.3783963570407685
250,Qwen/Qwen3-Embedding-0.6B,centroid,prior,mmr,topk,prior/mmr/topk,0.7267443538405922,0.025228952663897904,0.726680586547959,0.7239447321444172,0.7306886788891621,0.7157138099130745,0.7284507977422496,0.7099642658194624,0.480736550295128,-1.5478402548031571
250,Qwen/Qwen3-Embedding-0.6B,centroid,prior,graphcut,topk,prior/graphcut/topk,0.7267443538405922,0.025228952663897904,0.726680586547959,0.7239447321444172,0.7306886788891621,0.7157138099130745,0.7284507977422496,0.7099642658194624,0.480736550295128,-1.5478402548031571
250,Qwen/Qwen3-Embedding-0.6B,centroid,prior,fl,topk,prior/fl/topk,0.7267443538405922,0.025228952663897904,0.726680586547959,0.7239447321444172,0.7306886788891621,0.7157138099130745,0.7284507977422496,0.7099642658194624,0.480736550295128,-1.5478402548031571
250,all-mpnet-base-v2,centroid,prior,mmr,greedy,prior/mmr/greedy,0.3282325003291258,0.09123416378531816,0.32312736631265576,0.33214435677088033,0.3207321259844219,0.29529844282700446,0.10723887768920266,0.31222034936940873,-0.008960291327038815,-0.0057649453800982485
250,all-mpnet-base-v2,centroid,prior,graphcut,greedy,prior/graphcut/greedy,0.329409054633835,0.09116149804431875,0.3230674833532778,0.3346506287085494,0.321519519533391,0.29447571983273046,0.10723887768920266,0.3121892337334343,-0.00966309157380272,-0.005688417207158233
250,all-mpnet-base-v2,centroid,prior,fl,greedy,prior/fl/greedy,0.6674397374128346,0.04415773765517855,0.6685593924992416,0.6669228516354538,0.664751635627179,0.6057687348586667,0.5389510215879761,0.6854964093927146,0.26677265790519566,-0.22168622910737507
250,all-mpnet-base-v2,centroid,prior,mmr,cost_norm,prior/mmr/cost_norm,0.44776808861648965,0.07259246821181392,0.4416823389499129,0.45063906614646365,0.45017776191395564,0.4099512279604904,0.10723887768920266,0.43415427570237286,0.019710030498230318,-0.01946051752822704
250,all-mpnet-base-v2,centroid,prior,graphcut,cost_norm,prior/graphcut/cost_norm,0.44621549592622683,0.0719453709832621,0.4400540329199474,0.4485912368664424,0.4483765523623207,0.42530446550406226,0.10723887768920266,0.4319424016657446,0.0166443107886129,-0.02062858452088869
250,all-mpnet-base-v2,centroid,prior,fl,cost_norm,prior/fl/cost_norm,0.6940226285239902,0.04771708386054017,0.7000958225075814,0.6922384794348697,0.6822392199832653,0.6238556652472627,0.6434925175872251,0.6968841515650446,0.3194685376969711,-0.39537612174391606
250,all-mpnet-base-v2,centroid,prior,dpp,dpp,prior/dpp/dpp,0.2666917875545187,0.10181990299233289,0.26409090552323494,0.2676717029603921,0.2694517062585348,0.2650253163597559,0.16635838484724277,0.24953902345229342,0.1120136045798097,-0.05341275272810049
250,all-mpnet-base-v2,centroid,prior,mmr,topk,prior/mmr/topk,0.2423912080175796,0.10663760110806182,0.24525801607541795,0.24185503584900028,0.2378390805473524,0.24551054125336222,0.15669383403830944,0.22450514041487482,0.3174020851960072,-2.492407637319613
